"COMID","Longitude","Latitude","dataset_source"
20052023,-104.37828,35.65441,"Caravan_PFAS"
22459435,-104.03928,32.07533,"Caravan_PFAS"
17016187,-108.20138,36.72239,"Caravan_PFAS"
2742874,-75.33988,41.33598,"Caravan_PFAS"
2588375,-75.08476,40.82889,"Caravan_PFAS"
8974256,-78.38625,41.96357,"Caravan_PFAS"
10222374,-79.69504,41.4817,"Caravan_PFAS"
6979128,-93.53278,42.18272,"Caravan_PFAS"
3986384,-84.08509,39.80893,"Caravan_PFAS"
3986384,-84.06733,39.8216,"Caravan_PFAS"
13326050,-91.22768,42.96633,"Caravan_PFAS"
13361354,-90.20106,42.01029,"Caravan_PFAS"
6978626,-93.63996,42.31441,"Caravan_PFAS"
7243027,-96.17761,43.24572,"Caravan_PFAS"
17239358,-95.72538,43.18651,"Caravan_PFAS"
20030643,-104.16944,35.4091,"Caravan_PFAS"
20031587,-103.39986,35.34974,"Caravan_PFAS"
8153511,-77.2516,41.20229,"Caravan_PFAS"
6572160,-93.15287,42.31442,"Caravan_PFAS"
17219468,-95.92167,41.25909,"Caravan_PFAS"
22251995,-93.29009,41.24662,"Caravan_PFAS"
20814930,-105.69205,35.548,"Caravan_PFAS"
4506614,-77.32933,39.091,"Caravan_PFAS"
6588095,-94.46268,42.80568,"Caravan_PFAS"
6618094,-94.7729,42.06383,"Caravan_PFAS"
166757556,-82.346969,29.65,"Camacho_2024"
166757556,-82.341171,29.64840419,"Camacho_2024"
166757556,-82.344767,29.64726139,"Camacho_2024"
166757556,-82.346014,29.64121789,"Camacho_2024"
166757556,-82.344812,29.64249661,"Camacho_2024"
166757556,-82.3501,29.6406,"Camacho_2024"
166757556,-82.347555,29.641006,"Camacho_2024"
2161520,-82.40511111,29.85386111,"Camacho_2024"
16626484,-82.10305556,29.51666667,"Camacho_2024"
16630372,-82.10166667,29.50611111,"Camacho_2024"
16626182,-82.12611111,29.65944444,"Camacho_2024"
16626490,-82.12944444,29.495,"Camacho_2024"
933080019,-82.06517778,29.56493833,"Camacho_2024"
933080222,-82.20671167,29.68774667,"Camacho_2024"
933080223,-82.238488,29.650554,"Camacho_2024"
933080223,-82.253158,29.618217,"Camacho_2024"
933080223,-82.248599,29.612292,"Camacho_2024"
2161848,-82.0523,29.7128,"Camacho_2024"
2161848,-82.1352,29.7787,"Camacho_2024"
166757556,-82.360294,29.644802,"Camacho_2024"
166757556,-82.362661,29.643334,"Camacho_2024"
166757556,-82.349754,29.64087,"Camacho_2024"
933080223,-82.239,29.6366,"Camacho_2024"
166757566,-82.3361,29.6164,"Camacho_2024"
166757566,-82.3242,29.6428,"Camacho_2024"
166757556,-82.4552,29.7113,"Camacho_2024"
166757556,-82.3519,29.644,"Camacho_2024"
166757566,-82.3055,29.5336,"Camacho_2024"
166757549,-82.2973,29.5112,"Camacho_2024"
166757566,-82.3089,29.6216,"Camacho_2024"
166757566,-82.340072,29.621653,"Camacho_2024"
166757566,-82.3389,29.6347,"Camacho_2024"
166757566,-82.333,29.6419,"Camacho_2024"
166757566,-82.3244,29.6434,"Camacho_2024"
166757566,-82.3289,29.629,"Camacho_2024"
16630384,-82.165012,29.485931,"Camacho_2024"
16630364,-82.092624,29.455616,"Camacho_2024"
16630386,-82.161252,29.479318,"Camacho_2024"
166757568,-82.206627,29.479318,"Camacho_2024"
166757568,-82.22171,29.517246,"Camacho_2024"
166757535,-82.058055,29.594622,"Camacho_2024"
933080223,-82.22466667,29.64136111,"Camacho_2024"
166757556,-82.34927778,29.66636111,"Camacho_2024"
166757556,-82.35361111,29.6635,"Camacho_2024"
166757556,-82.35997222,29.65711111,"Camacho_2024"
166757556,-82.36855556,29.65952778,"Camacho_2024"
166757556,-82.36402778,29.66636111,"Camacho_2024"
166757556,-82.37216667,29.67363889,"Camacho_2024"
166757556,-82.34475,29.674,"Camacho_2024"
166757556,-82.37508333,29.651,"Camacho_2024"
2161822,-82.60898,29.85172,"Camacho_2024"
166757556,-82.38863,29.71087,"Camacho_2024"
2161822,-82.64794,29.82372,"Camacho_2024"
2161866,-82.39562,29.748562,"Camacho_2024"
25900341,-82.4971,29.8798,"Camacho_2024"
933080019,-82.058569,29.562223,"Camacho_2024"
3340280,-82.60626389,29.56096944,"Camacho_2024"
16626402,-82.30238611,29.67395278,"Camacho_2024"
16626126,-82.30545,29.69871111,"Camacho_2024"
16626126,-82.3017,29.7031,"Camacho_2024"
16626398,-82.33671389,29.72316667,"Camacho_2024"
2161596,-82.32408889,29.7972,"Camacho_2024"
16626402,-82.29155833,29.68648056,"Camacho_2024"
933080224,-82.27373889,29.69888889,"Camacho_2024"
16626126,-82.29004167,29.70309722,"Camacho_2024"
16626182,-82.15191667,29.58919444,"Camacho_2024"
2161848,-82.05216667,29.71266667,"Camacho_2024"
933080223,-82.25175,29.61813889,"Camacho_2024"
933080223,-82.25711111,29.62344444,"Camacho_2024"
933080223,-82.20194444,29.63691667,"Camacho_2024"
933080221,-82.21922222,29.68777778,"Camacho_2024"
933080225,-82.23519444,29.6785,"Camacho_2024"
933080223,-82.25055556,29.65175,"Camacho_2024"
25367766,-82.14927778,29.58333333,"Camacho_2024"
166757566,-82.320788,29.6515,"Camacho_2024"
166757566,-82.317197,29.637845,"Camacho_2024"
166757566,-82.323854,29.621276,"Camacho_2024"
166757566,-82.319809,29.656915,"Camacho_2024"
166757556,-82.34635,29.64112,"Camacho_2024"
933080224,-82.23686,29.6793,"Camacho_2024"
933070043,-82.430396,30.214696,"Camacho_2024"
1997512,-82.41869167,30.803975,"Camacho_2024"
933070021,-82.198,30.34072222,"Camacho_2024"
18260335,-82.12858333,30.35180556,"Camacho_2024"
18258879,-82.26069444,30.56119444,"Camacho_2024"
18260257,-82.23113889,30.43286111,"Camacho_2024"
18258883,-82.24727778,30.53575,"Camacho_2024"
